Paper_Doi,Citation_Type,Cited_Doi,Year,Title
10.4142/jvs.2016.17.3.391,Forward,10.1186/s44342-024-00013-4,2024.0,Shared alleles and genetic structures in different Thai domestic cat breeds: the possible influence of common racial origins
10.4142/jvs.2016.17.3.391,Forward,10.1007/s13258-024-01510-0,2024.0,Optimizing Bangkaew dog breed identification using DNA technology.
10.4142/jvs.2016.17.3.391,Forward,10.1016/j.fsigen.2024.103056,2024.0,Development and validation of a novel 30-plex STR assay for canine individual identification and parentage testing.
10.4142/jvs.2016.17.3.391,Forward,10.1007/s11033-019-04601-4,2019.0,Polymorphism analyses of 19 STRs in Labrador Retriever population from China and its heterozygosity comparisons with other retriever breeds
10.4142/jvs.2016.17.3.391,Forward,10.1021/acs.analchem.8b05318,2018.0,Forensic DNA Analysis.
10.4142/jvs.2016.17.3.391,Forward,10.1186/s13104-017-2722-6,2017.0,The use of genetic markers to estimate relationships between dogs in the course of criminal investigations
10.4142/jvs.2016.17.3.391,Backward,10.1016/j.fsigen.2011.04.015,2012.0,Genetic data from 15 STR loci for forensic individual identification and parentage analyses in UK domestic dogs (Canis lupus familiaris).
10.4142/jvs.2016.17.3.391,Backward,10.1016/J.FSIGSS.2009.08.068,2009.0,Genetic diversity analysis of 10 STR's loci used for forensic identification in canine hair samples
10.4142/jvs.2016.17.3.391,Backward,10.1111/j.1556-4029.2009.01080.x,2009.0,Canine Population Data Generated from a Multiplex STR Kit for Use in Forensic Casework *
10.4142/jvs.2016.17.3.391,Backward,10.3325/CMJ.2009.50.268,2009.0,Developmental validation of short tandem repeat reagent kit for forensic DNA profiling of canine biological material.
10.4142/jvs.2016.17.3.391,Backward,10.1534/genetics.107.084954,2008.0,Population Structure and Inbreeding From Pedigree Analysis of Purebred Dogs
10.4142/jvs.2016.17.3.391,Backward,10.1111/j.1556-4029.2006.00046.x,2006.0,Genetics and Genomics of Core Short Tandem Repeat Loci Used in Human Identity Testing
10.4142/jvs.2016.17.3.391,Backward,10.1111/J.1471-8286.2005.01155.X,2006.0,genalex 6: genetic analysis in Excel. Population genetic software for teaching and research
10.4142/jvs.2016.17.3.391,Backward,,2005.0,Forensic DNA identification of animal-derived trace evidence: tools for linking victims and suspects.
10.4142/jvs.2016.17.3.391,Backward,10.1016/J.FORSCIINT.2004.07.002,2005.0,Estimating the probability of identity in a random dog population using 15 highly polymorphic canine STR markers.
10.4142/jvs.2016.17.3.391,Backward,10.1520/JFS2004207,2005.0,A PCR multiplex and database for forensic DNA identification of dogs.
10.4142/jvs.2016.17.3.391,Backward,10.1046/J.1365-2052.2003.01074.X,2004.0,Power of exclusion for parentage verification and probability of match for identity in American Kennel Club breeds using 17 canine microsatellite markers.
10.4142/jvs.2016.17.3.391,Backward,10.1046/j.1365-294X.2001.01185.x,2001.0,Estimating the probability of identity among genotypes in natural populations: cautions and guidelines
10.4142/jvs.2016.17.3.391,Backward,10.1111/J.1748-5827.1995.TB02791.X,1995.0,Dog parentage testing using canine microsatellites.
10.4142/jvs.2016.17.3.391,Backward,10.1016/0379-0738(94)90222-4,1994.0,"DNA profile match probability calculation: how to allow for population stratification, relatedness, database selection and single bands."
10.4142/jvs.2016.17.3.391,Backward,10.1016/j.fsigen.2013.07.002,2014.0,Validation of two canine STR multiplex-assays following the ISFG recommendations for non-human DNA analysis.
10.4142/jvs.2016.17.3.391,Backward,10.1016/j.fsigen.2012.07.001,2013.0,"Developmental validation of DogFiler, a novel multiplex for canine DNA profiling in forensic casework."
10.4142/jvs.2016.17.3.391,Backward,10.1016/j.fsigen.2010.03.013,2011.0,Population genetic study in Hungarian canine populations using forensically informative STR loci.
10.4142/jvs.2016.17.3.391,Backward,10.1007/BF01225493,2005.0,The validation of short tandem repeat (STR) loci for use in forensic casework
10.1016/j.fsigen.2018.02.013,Forward,10.1080/21655979.2022.2031411,2022.0,DNA methyltransferase 3 beta regulates promoter methylation of microRNA-149 to augment esophageal squamous cell carcinoma development through the ring finger protein 2/Wnt/β-catenin axis
10.1016/j.fsigen.2018.02.013,Forward,10.1007/s12539-020-00370-y,2020.0,Identification of CpG Islands in DNA Sequences Using Short-Time Fourier Transform
10.1016/j.fsigen.2018.02.013,Backward,10.5483/BMBRep.2016.49.7.070,2016.0,Forensic DNA methylation profiling from evidence material for investigative leads
10.1016/j.fsigen.2018.02.013,Backward,10.1038/srep17788,2015.0,A novel strategy for forensic age prediction by DNA methylation and support vector regression model
10.1016/j.fsigen.2018.02.013,Backward,10.1016/j.fsigen.2015.03.002,2015.0,Genome-wide methylation profiling and a multiplex construction for the identification of body fluids using epigenetic markers.
10.1016/j.fsigen.2018.02.013,Backward,10.1016/j.fsigen.2015.05.001,2015.0,Development of a forensically useful age prediction method based on DNA methylation analysis.
10.1016/j.fsigen.2018.02.013,Backward,10.1093/nar/gku1177,2014.0,The UCSC Genome Browser database: 2015 update
10.1016/j.fsigen.2018.02.013,Backward,10.1016/j.fsigen.2014.07.011,2014.0,Identification of body fluid-specific DNA methylation markers for use in forensic science.
10.1016/j.fsigen.2018.02.013,Backward,10.4161/epi.20299,2012.0,A systematic comparison of quantitative high-resolution DNA methylation analysis and methylation-specific PCR
10.1016/j.fsigen.2018.02.013,Backward,10.1038/nrg3230,2012.0,"Functions of DNA methylation: islands, start sites, gene bodies and beyond"
10.1016/j.fsigen.2018.02.013,Backward,10.1186/1471-2156-13-13,2012.0,CpGPAP: CpG island predictor analysis platform
10.1016/j.fsigen.2018.02.013,Backward,10.1101/gad.2037511,2011.0,CpG islands and the regulation of transcription.
10.1016/j.fsigen.2018.02.013,Backward,10.1038/nbt.1682,2010.0,Comparison of sequencing-based methods to profile DNA methylation and identification of monoallelic epigenetic modifications
10.1016/j.fsigen.2018.02.013,Backward,10.1007/s00335-009-9222-5,2009.0,A species-generalized probabilistic model-based definition of CpG islands
10.1016/j.fsigen.2018.02.013,Backward,10.1016/j.febslet.2009.04.012,2009.0,CpG islands – ‘A rough guide’
10.1016/j.fsigen.2018.02.013,Backward,10.1186/1471-2105-10-65,2009.0,CpG islands or CpG clusters: how to identify functional GC-rich regions in a genome?
10.1016/j.fsigen.2018.02.013,Backward,10.1093/bioinformatics/btn320,2008.0,PRIMEGENS-v2: genome-wide primer design for analyzing DNA methylation patterns of CpG islands
10.1016/j.fsigen.2018.02.013,Backward,10.1186/1471-2105-7-446,2006.0,CpGcluster: a distance-based algorithm for CpG-island detection
10.1016/j.fsigen.2018.02.013,Backward,10.1016/J.YGENO.2005.12.016,2006.0,DNA motifs associated with aberrant CpG island methylation.
10.1016/j.fsigen.2018.02.013,Backward,10.1093/nar/gni012,2005.0,BiSearch: primer-design and search tool for PCR on bisulfite-treated genomes
10.1016/j.fsigen.2018.02.013,Backward,10.1038/NATURE03001,2004.0,Finishing the euchromatic sequence of the human genome
10.1016/j.fsigen.2018.02.013,Backward,10.1093/bioinformatics/bth254,2004.0,"PerlPrimer: cross-platform, graphical primer design for standard, bisulphite and real-time PCR"
10.1016/j.fsigen.2018.02.013,Backward,10.1093/BIOINFORMATICS/BTH059,2004.0,An evaluation of new criteria for CpG islands in the human genome as gene markers
10.1016/j.fsigen.2018.02.013,Backward,10.1093/BIOINFORMATICS/18.11.1427,2002.0,MethPrimer: designing primers for methylation PCRs
10.1016/j.fsigen.2018.02.013,Backward,10.1038/sj.onc.1205600,2002.0,"CpG island hypermethylation and tumor suppressor genes: a booming present, a brighter future"
10.1016/j.fsigen.2018.02.013,Backward,10.1093/bioinformatics/18.4.631,2002.0,CpGProD: identifying CpG islands associated with transcription start sites in large genomic mammalian sequences
10.1016/j.fsigen.2018.02.013,Backward,10.1073/pnas.052410099,2002.0,Comprehensive analysis of CpG islands in human chromosomes 21 and 22
10.1016/j.fsigen.2018.02.013,Backward,10.1093/bioinformatics/17.3.214,2001.0,Efficient primer design algorithms
10.1016/j.fsigen.2018.02.013,Backward,10.1073/PNAS.95.4.1460,1998.0,"A unified view of polymer, dumbbell, and oligonucleotide DNA nearest-neighbor thermodynamics."
10.1016/j.fsigen.2018.02.013,Backward,10.1073/PNAS.93.18.9821,1996.0,Methylation-specific PCR: a novel PCR assay for methylation status of CpG islands.
10.1016/j.fsigen.2018.02.013,Backward,10.1093/NAR/22.15.2990,1994.0,High sensitivity mapping of methylated cytosines.
10.1016/j.fsigen.2018.02.013,Backward,10.1073/PNAS.89.5.1827,1992.0,A genomic sequencing protocol that yields a positive display of 5-methylcytosine residues in individual DNA strands.
10.1016/j.fsigen.2018.02.013,Backward,10.1021/BI00429A018,1989.0,Effect of ionic strength on the hybridization of oligodeoxynucleotides with reduced charge due to methylphosphonate linkages to unmodified oligodeoxynucleotides containing the complementary sequence.
10.1016/j.fsigen.2018.02.013,Backward,10.1016/0022-2836(87)90689-9,1987.0,CpG islands in vertebrate genomes.
10.1016/j.fsigen.2018.02.013,Backward,10.1038/321209A0,1986.0,CpG-rich islands and the function of DNA methylation
10.1016/j.fsigen.2018.02.013,Backward,,2003.0,The CpG Island Searcher: A new WWW resource
10.1016/j.fsigen.2018.02.013,Backward,10.1016/B978-012372182-2/50008-3,1995.0,6 – Nucleic Acid Hybridization and Unconventional Bases
10.1111/1556-4029.13587,Forward,10.1016/j.aquaculture.2024.741262,2024.0,"The development of novel genome-SSRs, multiplex PCR panels, and allelic ladders for parentage identification in Tachypleus tridentatus"
10.1111/1556-4029.13587,Forward,10.1111/1556-4029.14812,2021.0,Construction of an in‐house allelic ladder for Canine Genotypes™ Panel 2.1 Kit
10.1111/1556-4029.13587,Forward,10.1038/s41598-018-29264-2,2018.0,Rapid oral bacteria detection based on real-time PCR for the forensic identification of saliva
10.1111/1556-4029.13587,Backward,10.1016/c2011-0-07649-4,2014.0,Advanced Topics in Forensic DNA Typing: Interpretation
10.1111/1556-4029.13587,Backward,10.1159/000339139,2012.0,Beyond STRs: The Role of Diallelic Markers in Forensic Genetics
10.1111/1556-4029.13587,Backward,10.1100/2012/917235,2012.0,Mutation at the Human D1S80 Minisatellite Locus
10.1111/1556-4029.13587,Backward,10.1007/s10528-009-9250-6,2009.0,Allele Frequency of VNTR Locus D1S80 Observed in Denizli Province of Turkey
10.1111/1556-4029.13587,Backward,,2005.0,Comparison of variable number tandem repeat and short tandem repeat genetic markers for qualitative and quantitative chimerism analysis post allogeneic stem cell transplantation.
10.1111/1556-4029.13587,Backward,10.1016/J.FORSCIINT.2004.01.006,2004.0,Allele frequencies and genetic data of 16 highly polymorphic loci in Koreans.
10.1111/1556-4029.13587,Backward,10.1080/0301446031000064512,2003.0,"Genetic variation at three VNTR loci in three tribal populations of Orissa, India"
10.1111/1556-4029.13587,Backward,10.1038/sj.bmt.1703360,2002.0,Comparison of short tandem repeat and variable number tandem repeat genetic markers for quantitative determination of allogeneic bone marrow transplant engraftment
10.1111/1556-4029.13587,Backward,10.1080/030144601300119115,2001.0,D1S80 distribution in world populations with new data from the UK and the Indian sub-continent
10.1111/1556-4029.13587,Backward,10.1016/S1097-2765(00)80473-6,1999.0,"The crystal structure of C-terminal merozoite surface protein 1 at 1.8 A resolution, a highly protective malaria vaccine candidate."
10.1111/1556-4029.13587,Backward,10.1248/CPB.46.1639,1998.0,Analysis of variable number of tandem repeats of human genome D1S80 locus using capillary electrophoresis with laser-induced fluorescence detector.
10.1111/1556-4029.13587,Backward,10.1002/elps.1150190115,1998.0,Analysis of the D1S80 locus by capillary electrophoresis
10.1111/1556-4029.13587,Backward,10.1016/S0379-0738(97)00116-3,1997.0,Nucleotide substitution in the 5' flanking region of D1S80 locus.
10.1111/1556-4029.13587,Backward,10.1016/0379-0738(95)01880-8,1996.0,Sequence determination of an allele ladder for the STR polymorphism at the CD4 locus and application of the ladder in testing an Austrian Caucasian population sample.
10.1111/1556-4029.13587,Backward,10.1093/NAR/23.15.3050,1995.0,Enhanced PCR amplification of VNTR locus D1S80 using peptide nucleic acid (PNA).
10.1111/1556-4029.13587,Backward,10.1007/BF01370382,1993.0,PCR-amplification and detection of the human D1S80 VNTR locus
10.1111/1556-4029.13587,Backward,10.1520/JFS13521J,1993.0,Multigenerational amplification of a reference ladder for alleles at locus D1S80.
10.1111/1556-4029.13587,Backward,10.1101/GR.1.4.241,1992.0,Preferential PCR amplification of alleles: mechanisms and solutions.
10.1111/1556-4029.13587,Backward,10.1520/JFS12944J,1990.0,Amplification of a variable number of tandem repeats (VNTR) locus (pMCT118) by the polymerase chain reaction (PCR) and its application to forensic science.
10.1111/1556-4029.13587,Backward,10.1007/s004140050167,1998.0,New reference allelic ladders to improve allelic designation in a multiplex STR system
10.1111/1556-4029.13587,Backward,10.1002/elps.1150170916,1996.0,DNA Typing of a polymerase chain reaction amplified D1S80/amelogenin multiplex using capillary electrophoresis and a mixed entangled polymer matrix
10.1016/j.fsigen.2017.12.011,Forward,10.1016/j.forsciint.2024.112339,2024.0,AI-driven feature selection and epigenetic pattern analysis: A screening strategy of CpGs validated by pyrosequencing for body fluid identification.
10.1016/j.fsigen.2017.12.011,Forward,10.1016/j.microc.2024.111438,2024.0,Advancements in colorimetric and fluorescent-based sensing approaches for point-of-care testing in forensic sample analysis
10.1016/j.fsigen.2017.12.011,Forward,10.1016/j.trac.2023.117499,2023.0,Naked eye biosensors for pathogen monitoring
10.1016/j.fsigen.2017.12.011,Forward,10.1007/s00414-023-03051-9,2023.0,Rapid and visual detection of specific bacteria for saliva and vaginal fluid identification with the lateral flow dipstick strategy
10.1016/j.fsigen.2017.12.011,Forward,10.1039/d2ra07415j,2023.0,Iron/iron oxide-based magneto-electrochemical sensors/biosensors for ensuring food safety: recent progress and challenges in environmental protection
10.1016/j.fsigen.2017.12.011,Forward,10.1186/s41935-023-00336-3,2023.0,Recent advancements in identification and detection of saliva as forensic evidence: a review
10.1016/j.fsigen.2017.12.011,Forward,10.1128/spectrum.03448-22,2023.0,Oral Microbiota Alteration and Roles in Epstein-Barr Virus Reactivation in Nasopharyngeal Carcinoma
10.1016/j.fsigen.2017.12.011,Forward,10.1016/j.snb.2022.132566,2022.0,Cobalt dual-atom clusters with strong chemiluminescent response for analyzing pathogenic bacteria by using cell wall bind domain as recognizer
10.1016/j.fsigen.2017.12.011,Forward,10.1111/1556-4029.15029,2022.0,"Design and optimization of a 16S microbial qPCR multiplex for the presumptive identification of feces, saliva, vaginal and menstrual secretions"
10.1016/j.fsigen.2017.12.011,Forward,10.3390/genes12111728,2021.0,On the Identification of Body Fluids and Tissues: A Crucial Link in the Investigation and Solution of Crime
10.1016/j.fsigen.2017.12.011,Forward,10.5005/JP-JOURNALS-10024-3028,2021.0,A Novel Saliva Collection Method among Children and Infants: A Comparison Study between Oral Swab and Pacifier-based Saliva Collection.
10.1016/j.fsigen.2017.12.011,Forward,10.1016/j.snb.2020.128303,2020.0,A smartphone-based bacteria sensor for rapid and portable identification of forensic saliva sample
10.1016/j.fsigen.2017.12.011,Forward,10.1016/j.forsciint.2019.110077,2019.0,Application of DNA repair for Streptococcus salivarius DNA-based identification of saliva from ultraviolet-exposed samples.
10.1016/j.fsigen.2017.12.011,Forward,10.1016/j.fsigen.2019.06.016,2019.0,Oral gram-positive bacterial DNA-based identification of saliva from highly degraded samples.
10.1016/j.fsigen.2017.12.011,Forward,10.1016/j.talanta.2018.10.089,2019.0,Electrical detection of pathogenic bacteria in food samples using information visualization methods with a sensor based on magnetic nanoparticles functionalized with antimicrobial peptides.
10.1016/j.fsigen.2017.12.011,Forward,10.1021/acsami.8b11745,2018.0,"Metal (Au, Pt) Nanoparticle-Latex Nanocomposites as Probes for Immunochromatographic Test Strips with Enhanced Sensitivity."
10.1016/j.fsigen.2017.12.011,Forward,10.1007/s12024-018-0008-5,2018.0,The detection and identification of saliva in forensic samples by RT-LAMP
10.1016/j.fsigen.2017.12.011,Forward,10.1038/s41598-018-29264-2,2018.0,Rapid oral bacteria detection based on real-time PCR for the forensic identification of saliva
10.1016/j.fsigen.2017.12.011,Backward,10.1007/s11814-016-0103-9,2016.0,An integrated slidable direct polymerase chain reaction-capillary electrophoresis microdevice for rapid Y chromosome short tandem repeat analysis
10.1016/j.fsigen.2017.12.011,Backward,10.1016/j.bios.2015.12.044,2016.0,An integrated direct loop-mediated isothermal amplification microdevice incorporated with an immunochromatographic strip for bacteria detection in human whole blood and milk without a sample preparation step.
10.1016/j.fsigen.2017.12.011,Backward,10.5806/AST.2016.29.2.79,2016.0,"Performance of MiniPCR TM mini8, a portable thermal cycler"
10.1016/j.fsigen.2017.12.011,Backward,10.1039/c5lc00801h,2015.0,"An integrated slidable and valveless microdevice with solid phase extraction, polymerase chain reaction, and immunochromatographic strip parts for multiplex colorimetric pathogen detection."
10.1016/j.fsigen.2017.12.011,Backward,10.1016/j.fsigen.2014.11.015,2015.0,"Molecular approaches for forensic cell type identification: On mRNA, miRNA, DNA methylation and microbial markers."
10.1016/j.fsigen.2017.12.011,Backward,10.1016/j.bios.2014.06.006,2014.0,A packaged paper fluidic-based microdevice for detecting gene expression of influenza A virus.
10.1016/j.fsigen.2017.12.011,Backward,10.1016/j.aca.2014.10.020,2014.0,Combination of multiplex reverse-transcription loop-mediated isothermal amplification with an immunochromatographic strip for subtyping influenza A virus
10.1016/j.fsigen.2017.12.011,Backward,10.1111/1556-4029.12166,2013.0,"High‐Throughput STR Analysis for DNA Database Using Direct PCR ,"
10.1016/j.fsigen.2017.12.011,Backward,10.1016/j.fsigen.2012.01.005,2012.0,Molecular identification of vaginal fluid by microbial signature.
10.1016/j.fsigen.2017.12.011,Backward,10.1016/j.fsigen.2011.09.007,2012.0,Evaluation of mRNA marker specificity for the identification of five human body fluids by capillary electrophoresis.
10.1016/j.fsigen.2017.12.011,Backward,10.1111/j.1556-4029.2010.01579.x,2011.0,A Simple Identification Method of Saliva by Detecting Streptococcus salivarius Using Loop‐Mediated Isothermal Amplification
10.1016/j.fsigen.2017.12.011,Backward,10.1016/j.fsigen.2009.10.006,2010.0,The development of a mRNA multiplex RT-PCR assay for the definitive identification of body fluids.
10.1016/j.fsigen.2017.12.011,Backward,10.1128/JCM.00932-09,2009.0,Drinking Habits Are Associated with Changes in the Dental Plaque Microbial Community
10.1016/j.fsigen.2017.12.011,Backward,10.1111/j.1556-4029.2009.01055.x,2009.0,Developmental Validation of RSID™‐Saliva: A Lateral Flow Immunochromatographic Strip Test for the Forensic Detection of Saliva
10.1016/j.fsigen.2017.12.011,Backward,10.1016/j.forsciint.2009.02.013,2009.0,Analysis of body fluids for forensic purposes: from laboratory testing to non-destructive rapid confirmatory identification at a crime scene.
10.1016/j.fsigen.2017.12.011,Backward,10.1016/j.fsigen.2008.11.003,2009.0,mRNA profiling for body fluid identification by reverse transcription endpoint PCR and realtime PCR.
10.1016/j.fsigen.2017.12.011,Backward,10.1016/j.forsciint.2008.10.003,2009.0,A novel method for the identification of saliva by detecting oral streptococci using PCR.
