ID_B,ID_B_Org,ID_Project_Unique,ID_Paper,Year,Year_Perf,Department,Title,DOI,Sem_URL,Journal,Journal_Link,H_Index,Search_Scope,Project_Scope,Project_Scope_Nom,Project_Scope_Avg,Scope_All,Scope_Top_Raw,Scope_Top,Scope_Tree,Exploration,Abstract,Paper_Contribution,Paper_Org_Raw,Paper_Org_ENG,Paper_Org_KR,Paper_Org_Net,Authors,Authors_Nom,Authors_Count,Perf_Time,GDC_Paper,Num_External_Tie_Paper,Avg_Num_External_Tie_Paper,Central_1,Central_5,Central_10,Total_Funding,Gov_Funding,Period_Start,Period_End,Period,Num_Researchers,Ind_Sci_Tech,Industry_6T,RD_Stage,Eco_Soc_Purpose,Project_Net,Project_Net_Type,Num_Organizations,Num_Large_Firm,Num_Medium_Firm,Num_Small_Firm,Num_Univ,Num_RI,Num_Others,Net_Diversity,Net_Stability_Ind,Net_Stability_Org,Net_Incon_Unique,Net_Incon,Net_Incon_Paper,HHI,HHI_Reverse,GDC,Num_External_Ties,Avg_Num_External_Ties,Avg_Blau_Partner,Density_by_Year,Density_Ind,Density_Sci,Density_Ego,Num_Papers,Num_SCI_Papers,Num_Non_SCI_Papers,Num_Patents,Num_Applications,Num_Registrations,Num_Domestic_Patents,Num_Domestic_Applications,Num_Domestic_Registrations,Num_Foreign_Patents,Num_Foreign_Applications,Num_Foreign_Registrations,Num_Perf,SCI_YN,Joint_or_Contract,Project_Phase,Citation_Count,Citation_Weighted,Influential_Citation_Count,Inf_Citation_Weighted
172,201107011390401C,1345171157,165,2012,2012,15,Kinetic studies on the formation of various II-VI semiconductor nanocrystals and synthesis of gradient alloy quantum dots emitting in the entire visible range,10.1039/c2jm16448e,,JOURNAL OF MATERIALS CHEMISTRY,https://www.scimagojr.com/journalsearch.php?q=24641&tip=sid&clean=0,339,2,7,0.411764706,2.333333333,Chemistry; Chemistry (miscellaneous); Materials Science; Materials Chemistry,Chemistry; Materials Science,Chemistry; Materials Science,Chemistry (miscellaneous); Materials Chemistry,0.819134626,,100,서울대학,Seoul National University,서울대학,서울대학,Cho J.; Jung Y. K.; Lee J. K.,"['choj', 'jungyk', 'leejk']",3,0,0.281578947,107,107,1,1,1,357000000,257000000,2009-06-01,2015-05-31,2190,3,5,2,1,4,"바이테리얼즈, 서울대학, 서울대학","[3, 4, 4]",3,0,0,1,2,0,0,0.444444444,0.049876874,0.219877345,0.8125,0.575757576,0,1,0,0.019454123,134,67,0.415144186,0.001143385,0.001656497,0.002323214,0.0025157,12,12,0,0,0,0,0,0,0,0,0,0,12,1,2,4,45,4.082307898,,
229,201207011580401A,1345171791,180,2012,2012,15,Current state and perspectives on erythropoietin production,10.1007/s00253-012-4291-x,https://www.semanticscholar.org/paper/Current-state-and-perspectives-on-erythropoietin-Lee-Ha/1aaa70f955841f3eb70d928964e388d66ba1197d,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,https://www.scimagojr.com/journalsearch.php?q=14957&tip=sid&clean=0,267,3,5,0.294117647,2.875,"Biochemistry, Genetics and Molecular Biology; Biotechnology; Immunology and Microbiology; Applied Microbiology and Biotechnology; Medicine; Medicine (miscellaneous)","Biochemistry, Genetics and Molecular Biology; Medicine; Immunology and Microbiology",Biochemistry Genetics and Molecular Biology; Medicine; Immunology and Microbiology,Biotechnology; Applied Microbiology and Biotechnology; Medicine (miscellaneous),0.310922236,,33.33333333,한국과학기술원,Korea Advanced Institute of Science and Technology,한국과학기술원,한국과학기술원,Jae Seong Lee; T. Ha; Seung Joo Lee; G. Lee,"['jaeseonglee', 'tha', 'seungjoolee', 'glee']",4,0,0.086842105,33,33,0,1,1,1078300000,1078300000,2009-07-10,2014-06-30,1816,4,5,2,2,7,"한국과학기술원, 이수앱지스, 한국생명공학연구원","[4, 3, 5]",3,0,0,1,1,1,0,0.666666667,0.124350649,0.530952381,0.666666667,0.285714286,0,0.61324263,0.38675737,0.014955714,103,34.33333333,0.455305232,0.001143385,0.001656497,0.002323214,0.0026594,8,8,0,4,4,0,1,1,0,3,3,0,12,1,2,4,30,2.721538599,1,0.090717953
135,200807020340401A,1345194033,322,2012,2012,15,"Proteomic characterization of Kunitz trypsin inhibitor variants, Tia and Tib, in soybean [Glycine max (L.) Merrill]",10.1007/s00726-011-1092-y,https://www.semanticscholar.org/paper/Proteomic-characterization-of-Kunitz-trypsin-Tia-in-Lee-Kim/39e3592c326ea31b3971ee0161b64a087d6c551e,AMINO ACIDS,https://www.scimagojr.com/journalsearch.php?q=16783&tip=sid&clean=0,141,2,8,0.470588235,2.1,"Biochemistry, Genetics and Molecular Biology; Biochemistry; Clinical Biochemistry; Chemistry; Organic Chemistry","Chemistry; Biochemistry, Genetics and Molecular Biology",Chemistry; Biochemistry Genetics and Molecular Biology,Biochemistry; Clinical Biochemistry; Organic Chemistry,0.792040784,,50,"한국원자력연구원, 동국대학","Korea Atomic Energy Research Institute; Dongguk University, Seoul","한국원자력연구원, 동국대학",한국원자력연구원; 동국대학,K. J. Lee; J. Kim; B. Ha; S. Kim; S.-Y. Kang; B. Lee; D. S. Kim,"['kjlee', 'jkim', 'bha', 'skim', 'sykang', 'blee', 'dskim']",7,0,0.081794195,31,15.5,0,0,2,2032000000,2032000000,2011-01-01,2014-12-31,1460,17,14,2,2,6,"한국원자력연구원, 경상대학, 서강대학, 서울여자대학, 우리생명과학, 전북대학, 한국과학기술원","[5, 4, 4, 4, 3, 4, 4]",7,0,0,1,5,1,0,0.448979592,0.031637334,0.221096491,0.76,0.428571429,0.5,0.21975452,0.78024548,0.033706233,232,33.14285714,0.449953707,0.001143385,0.001656497,0.002323214,0.002389491,20,20,0,8,6,2,8,6,2,0,0,0,28,1,2,2,7,0.635025673,0,0
135,200807020340401A,1345194033,329,2012,2012,15,A screening method for β-glucan hydrolase employing Trypan Blue-coupled β-glucan agar plate and β-glucan zymography,10.1007/s10529-012-0873-z,https://www.semanticscholar.org/paper/A-screening-method-for-%CE%B2-glucan-hydrolase-employing-Park-Yang/4c77345820f49900af52f8e3c340f53150113bf0,BIOTECHNOLOGY LETTERS,https://www.scimagojr.com/journalsearch.php?q=15516&tip=sid&clean=0,127,4,8,0.470588235,2.1,"Biochemistry, Genetics and Molecular Biology; Biotechnology; Chemical Engineering; Bioengineering; Immunology and Microbiology; Applied Microbiology and Biotechnology; Medicine; Medicine (miscellaneous)","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Medicine; Immunology and Microbiology",Biochemistry Genetics and Molecular Biology; Chemical Engineering; Medicine; Immunology and Microbiology,Biotechnology; Bioengineering; Applied Microbiology and Biotechnology; Medicine (miscellaneous),0.792040784,,100,"한국생명공학연구원, 대구가톨릭대학, 창원대학, 한국항공우주연구원전북분원, 우리생명과학","Korea Research Institute of Bioscience and Biotechnology; Catholic University of Daegu; Changwon National University; KAERI Jeonbuk Branch Institute; Woori Life Science Co., Ltd.","한국생명공학연구원, 대구가톨릭대학, 창원대학, 한국항공우주연구원전북분원, 우리생명과학",한국생명공학연구원; 대구가톨릭대학; 창원대학; 한국항공우주연구원; 우리생명과학,Park; C. S.; Yang; H. J.; Kim; D. H.; Kang; D. O.; Kim; M. S.; Choi; N. S.,"['park', 'cs', 'yang', 'hj', 'kim', 'dh', 'kang', 'do', 'kim', 'ms', 'choi', 'ns']",12,0,0.125,47,9.4,0,1,1,2032000000,2032000000,2011-01-01,2014-12-31,1460,17,14,2,2,6,"한국원자력연구원, 경상대학, 서강대학, 서울여자대학, 우리생명과학, 전북대학, 한국과학기술원","[5, 4, 4, 4, 3, 4, 4]",7,0,0,1,5,1,0,0.448979592,0.031637334,0.221096491,0.76,0.428571429,0.8,0.21975452,0.78024548,0.033706233,232,33.14285714,0.449953707,0.001143385,0.001656497,0.002323214,0.002389491,20,20,0,8,6,2,8,6,2,0,0,0,28,1,2,2,4,0.362871813,,
135,200807020340401A,1345194033,339,2012,2012,15,Transcriptional analysis of the rho-coumarate 3-hydroxylase (C3H) gene from Hibiscus cannabinus L. during developmental stages in various tissues and in response to abiotic stresses,,,RESEARCH JOURNAL OF BIOTECHNOLOGY,https://www.scimagojr.com/journalsearch.php?q=19700174698&tip=sid&clean=0,32,4,8,0.470588235,2.1,"Biochemistry, Genetics and Molecular Biology; Biotechnology; Chemical Engineering; Bioengineering; Engineering; Biomedical Engineering; Immunology and Microbiology; Applied Microbiology and Biotechnology","Biochemistry, Genetics and Molecular Biology; Engineering; Chemical Engineering; Immunology and Microbiology",Biochemistry Genetics and Molecular Biology; Engineering; Chemical Engineering; Immunology and Microbiology,Biotechnology; Bioengineering; Biomedical Engineering; Applied Microbiology and Biotechnology,0.792040784,,100,"영남대학, 공주대학",Yeungnam University; Kongju National University,"영남대학, 공주대학",영남대학; 공주대학,Bosung Choi; Si-Yong Kang; H.-J. Bae; H.-S. Lim,"['bosungchoi', 'siyongkang', 'hjbae', 'hslim']",4,0,0.039577836,15,7.5,0,0,0,2032000000,2032000000,2011-01-01,2014-12-31,1460,17,14,2,2,6,"한국원자력연구원, 경상대학, 서강대학, 서울여자대학, 우리생명과학, 전북대학, 한국과학기술원","[5, 4, 4, 4, 3, 4, 4]",7,0,0,1,5,1,0,0.448979592,0.031637334,0.221096491,0.76,0.428571429,1,0.21975452,0.78024548,0.033706233,232,33.14285714,0.449953707,0.001143385,0.001656497,0.002323214,0.002389491,20,20,0,8,6,2,8,6,2,0,0,0,28,1,2,2,11,0.997897486,,
147,200907020410401A,1345194036,353,2012,2012,15,Sublingual immunization with recombinant adenovirus encoding SARS-CoV spike protein induces systemic and mucosal immunity without redirection of the virus to the brain,10.1186/1743-422X-9-215,https://www.semanticscholar.org/paper/Sublingual-immunization-with-recombinant-adenovirus-Shim-Stadler/05011e9ee1ef4c66f610a62e477a6ad9961bab37,VIROLOGY JOURNAL,https://www.scimagojr.com/journalsearch.php?q=20250&tip=sid&clean=0,321,2,11,0.647058824,2.357142857,Agricultural and Biological Sciences; Insect Science; Immunology and Microbiology; Immunology; Microbiology; Virology,Agricultural and Biological Sciences; Immunology and Microbiology,Agricultural and Biological Sciences; Immunology and Microbiology,Insect Science; Immunology; Microbiology; Virology,0.825229384,,100,"한양대학erica캠퍼스, 국제백신연구소서울, 서울대학, 이화여자대학","Hanyang University ERICA Campus; International Vaccine Institute, Seoul; Seoul National University; Ewha Womans University","한양대학ERICA캠퍼스, 국제백신연구소서울, 서울대학, 이화여자대학",한양대학; 국제백신연구소서울; 서울대학; 이화여자대학,Byoung-Shik Shim; K. Stadler; H. Nguyen; C. Yun; D. W. Kim; Jun Chang; C. Czerkinsky; M. Song,"['byoungshikshim', 'kstadler', 'hnguyen', 'cyun', 'dwkim', 'junchang', 'cczerkinsky', 'msong']",8,0,0.405835544,153,38.25,2,3,4,3269600000,2000000000,2008-12-01,2014-11-30,2190,54,5,2,1,4,"한국생명공학연구원, Michigan State University, 건국대학, 녹십자수의약품, 충남대학, 충남대학, 충북대학, 한국과학기술원","[5, 4, 4, 3, 4, 4, 4, 4]",8,0,0,1,6,1,0,0.40625,0.037085531,0.148487623,0.8,0.596153846,1,0.264864865,0.735135135,0.025860817,178,25.42857143,0.450160332,0.001143385,0.001656497,0.002323214,0.002230861,14,14,0,0,0,0,0,0,0,0,0,0,14,1,2,5,44,3.991589945,1,0.090717953
147,200907020410401A,1345194036,355,2012,2012,15,Diet-Induced Obesity Dramatically Reduces the Efficacy of a 2009 Pandemic H1N1 Vaccine in a Mouse Model,10.1093/infdis/jir731,,JOURNAL OF INFECTIOUS DISEASES,https://www.scimagojr.com/journalsearch.php?q=22440&tip=sid&clean=0,276,1,11,0.647058824,2.357142857,Medicine; Immunology and Allergy; Infectious Diseases,Medicine,Medicine,Immunology and Allergy; Infectious Diseases,0.825229384,,33.33333333,"한국생명공학연구원, 충북대학",Animal Model Center; Korea Research Institute of Bioscience and Biotechnology; Chungbuk National University,"한국생명공학연구원, 충북대학",한국생명공학연구원; 충북대학,Yong-Hoon Kim; Jeong-Ki Kim; Doo-Jin Kim; Jeong-Hyun Nam; Sang-Moo Shim; Young-Ki Choi; Chul-Ho Lee; Haryoung Poo,"['yonghoonkim', 'jeongkikim', 'doojinkim', 'jeonghyunnam', 'sangmooshim', 'youngkichoi', 'chulholee', 'haryoungpoo']",8,0,0.203166227,77,38.5,0,2,2,3269600000,2000000000,2008-12-01,2014-11-30,2190,54,5,2,1,4,"한국생명공학연구원, Michigan State University, 건국대학, 녹십자수의약품, 충남대학, 충남대학, 충북대학, 한국과학기술원","[5, 4, 4, 3, 4, 4, 4, 4]",8,0,0,1,6,1,0,0.40625,0.037085531,0.148487623,0.8,0.596153846,0,0.264864865,0.735135135,0.025860817,178,25.42857143,0.450160332,0.001143385,0.001656497,0.002323214,0.002230861,14,14,0,0,0,0,0,0,0,0,0,0,14,1,2,5,19,1.723641112,0,0
137,200807020480401A,1345195025,761,2012,2012,15,Anti-inflammatory effect of sinomenine by inhibition of pro-inflammatory mediators in PMA plus A23187-stimulated HMC-1 Cells,,https://www.semanticscholar.org/paper/Anti-inflammatory-effect-of-sinomenine-by-of-in-PMA-Oh-Kang/11bf2702c006886410bc4609f42a10ba1510dd1b,EUROPEAN REVIEW FOR MEDICAL AND PHARMACOLOGICAL SCIENCES,https://www.scimagojr.com/journalsearch.php?q=13223&tip=sid&clean=0,88,1,9,0.529411765,1.666666667,Medicine; Medicine (miscellaneous); Pharmacology (medical),Medicine,Medicine,Medicine (miscellaneous); Pharmacology (medical),0.816013785,"BACKGROUND AND OBJECTIVES Sinomenine is an alkaloid compound and a prominent anti-inflammatory agent found in the root of the climbing plant Sinomenium acutum. However, its effects on the mechanism of human mast cell line (HMC)-1-mediated inflammation remained unknown.   MATERIALS AND METHODS To provide insight into the biological effects of sinomenine, we examined its influence on the pro-inflammatory cytokine production in HMC-1 cells stimulated by phorbol 12-myristate-13-acetate (PMA) plus A23187 by evaluating the stimulated cells in the presence or absence of sinomenine. In the present study, the pro-inflammatory cytokine production was measured using ELISA, Reverse Transcription-polymerase chain reaction (RT-PCR) and nuclear factor (NF)-kappaB, mitogen-activated protein kinases (MAPKs) pathway activation, as determined by Western blot analysis. Also, cyclooxygenase (COX)-2 expression was measured through Western blot and RT-PCR analysis.   RESULTS Sinomenine inhibited the pro-inflammatory cytokine production induced by PMA plus A23187 in a dose-dependent manner. Furthermore, sinomenine inhibited the phosphorylations of extracellular signal-regulated kinase (ERK) and p38 MAPKs as well as the translocation of NF-kappaB p65 through reduced IkappaBalpha degradation. In addition, sinomenine suppressed COX-2 protein and mRNA expression dose-dependently.   CONCLUSIONS Taken together, the results of this study indicate that the anti-inflammatory effects of sinomenine may occur via the inhibition of pro-inflammatory cytokine and COX-2 production through the inhibition of MAPKs and NF-kappaB pathway activation by PMA plus A23187 stimulation in HMC-1 cells.",50,"국립원예특작과학원, 한국한의학연구원, 원광대학",National Institute of Horticultural and Herbal Science; Korea Institute of Oriental Medicine; Wonkwang University,"국립원예특작과학원, 한국한의학연구원, 원광대학",국립원예특작과학원; 한국한의학연구원; 원광대학,Y. Oh; O. Kang; S. B. Kim; S. Mun; C. B. Park; Y. G. Kim; Y. I. Kim; Y. S. Lee; S. H. Han; J. Keum; D. Shin; J. Ma; D. Kwon,"['yoh', 'okang', 'sbkim', 'smun', 'cbpark', 'ygkim', 'yikim', 'yslee', 'shhan', 'jkeum', 'dshin', 'jma', 'dkwon']",13,0,0.097883598,37,12.33333333,0,1,1,3732000000,3732000000,2009-01-01,2017-12-31,3286,74,7,2,2,4,"한국한의학연구원, University of Pennsylvania, 강원대학, 강원대학, 대전대학, 삼육대학, 한국식품연구원, 아이디바이오, 제주대학, 충남대학, 충남대학, 충남대학, 한국생명공학연구원, 한림대학","[5, 4, 4, 4, 4, 4, 5, 3, 4, 4, 4, 4, 5, 4]",14,0,0,1,10,3,0,0.43877551,0.086462262,0.402281775,0.8,0.410526316,0.666666667,0.18359375,0.81640625,0.016862916,116,10.54545455,0.471978617,0.001143385,0.001656497,0.002323214,0.003495911,36,36,0,32,19,13,31,18,13,1,1,0,68,1,2,4,18,1.632923159,0,0
163,201007530310301A,1355062271,1009,2012,2012,20,Down-regulated Expression of ATG5 in Colorectal Cancer,,https://www.semanticscholar.org/paper/Down-regulated-expression-of-ATG5-in-colorectal-Cho-Jo/14f89a614c2583bcb782cd2ef974b35a56fa465c,ANTICANCER RESEARCH,https://www.scimagojr.com/journalsearch.php?q=28728&tip=sid&clean=0,136,2,11,0.647058824,2,"Biochemistry, Genetics and Molecular Biology; Cancer Research; Medicine; Medicine (miscellaneous); Oncology","Biochemistry, Genetics and Molecular Biology; Medicine",Biochemistry Genetics and Molecular Biology; Medicine,Cancer Research; Medicine (miscellaneous); Oncology,0.719486658,"The role of autophagy in tumor development is paradoxical. Although some genetic evidence has indicated that autophagy has as a tumor suppressor function, it also provides some advantages to tumors under metabolic stress conditions. Autophagy is regulated by several autophagy-related gene (ATG) proteins. In mammals, 16 different ATG genes have been identified. To investigate the clinicopathological role of ATG5 in colorectal cancer, we firstly investigated its expression in patients with sporadic colorectal cancer. Expression analysis revealed ATG5 to be strongly down-regulated in colorectal cancer (38/40 patients). Interestingly, immunohistochemical analysis of colorectal cancer tissues indicated that increased ATG5 expression is associated with lymphovascular invasion (p=0.035). The findings in our limited clinical cohort indicate that ATG5 could be a potential prognostic or diagnostic biomarker.",50,"서울아산병원, 울산대학, 경희대학",Asan Medical Center; University of Ulsan College of Medicine; Kyung Hee University,"서울아산병원, 울산대학, 경희대학",서울아산병원; 울산대학; 경희대학,D. Cho; Y. Jo; Seung Cheol Kim; I. Park; J. C. Kim,"['dcho', 'yjo', 'seungcheolkim', 'ipark', 'jckim']",5,0,0.17989418,68,22.66666667,0,2,2,5750000000,2950000000,2006-12-01,2016-11-30,3652,15,7,2,2,4,"울산대학, CJ, 카이노스메드, 한국생명공학연구원","[4, 1, 3, 5]",4,1,0,1,1,1,0,0.75,0.045786881,0.358864671,0.892857143,0.594827586,0.666666667,0.468543522,0.531456478,0.008422887,58,14.5,0.486662738,0.001143385,0.001656497,0.002323214,0.006133444,43,36,7,19,9,10,9,6,3,10,3,7,62,1,2,7,69,6.259538777,3,0.27215386
163,201007530310301A,1355062273,1066,2012,2012,20,A bioinformatics approach for in vivo imaging of endogenous MicroRNA targets during neurogenesis,10.1007/s13770-012-0157-7,https://www.semanticscholar.org/paper/A-bioinformatics-approach-for-in-vivo-imaging-of-Jo-Lee/3670a4ee1bf2acf18e55646ec0d927b25b2caddd,TISSUE ENGINEERING AND REGENERATIVE MEDICINE,https://www.scimagojr.com/journalsearch.php?q=10700153301&tip=sid&clean=0,91,3,11,0.647058824,1.593220339,Engineering; Biomedical Engineering; Materials Science; Biomaterials; Medicine; Medicine (miscellaneous),Materials Science; Medicine; Engineering,Materials Science; Medicine; Engineering,Biomedical Engineering; Biomaterials; Medicine (miscellaneous),0.717172783,,100,"차의과학대학, kingsauduniversity","College of Medicine, Pochon CHA University; College of Sciences","차의과학대학, KingSaudUniversity",차의과학대학; KingSaudUniversity,Mi-hee Jo; Chang Hyun Lee; B. Ali; S. Alarifi; A. Al-Khedhairy; Soonhag Kim,"['miheejo', 'changhyunlee', 'bali', 'salarifi', 'aalkhedhairy', 'soonhagkim']",6,0,0.023746702,9,4.5,0,0,0,6795000000,4433000000,2008-12-01,2013-11-30,1825,45,7,2,2,4,"연세대학, 삼양바이오팜, 에스앤지바이오텍, 코메드메디칼, 큐라켐, 태웅메디칼, 한독약품, 동국제약, 연세대학, 연세대학","[4, 1, 3, 3, 3, 3, 1, 1, 4, 4]",10,3,0,4,3,0,0,0.66,0.033867801,0.185093884,0.860465116,0.433333333,1,0.597222222,0.402777778,0.011624528,80,10,0.42475757,0.001143385,0.001656497,0.002323214,0.00350273,59,57,2,56,33,23,45,24,21,11,9,2,115,1,2,5,2,0.181435907,0,0
